Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
01/01/2021,2,9,11,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,13,15,1,3,4
01/02/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2021,2,5,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,2,2,3
01/04/2021,2,5,7,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,2,3,5
01/05/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
01/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2021,0,23,23,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,8,8
01/09/2021,0,21,21,0,6,6,0,0,0,0,0,0,0,1,1,0,1,1,0,27,27,0,6,6
01/10/2021,0,4,4,0,3,3,0,0,0,0,0,0,0,1,1,0,1,1,0,7,7,0,3,3
01/11/2021,0,19,19,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,11,11
01/12/2021,0,10,10,0,4,4,0,0,0,0,0,0,0,1,1,0,1,1,0,25,25,0,4,4
01/13/2021,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3
01/14/2021,0,7,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,3,3
01/15/2021,0,17,17,0,3,3,0,0,0,0,0,0,0,2,2,0,1,1,0,49,49,0,3,3
01/16/2021,4,7,11,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,1,4,5
01/17/2021,2,6,8,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,1,3,4
01/18/2021,0,11,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,5,5
01/19/2021,1,7,8,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,1,4,5
01/20/2021,1,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,1,1,1
01/21/2021,0,9,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,3,3
01/22/2021,1,16,17,1,4,5,0,0,0,0,0,0,0,4,4,0,3,3,2,35,37,1,4,5
01/23/2021,0,10,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,6,6
01/24/2021,3,5,8,1,2,3,0,0,0,0,0,0,0,1,1,0,1,1,4,9,13,1,2,3
01/25/2021,4,5,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,1,1,2
01/26/2021,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1
01/27/2021,2,14,16,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,20,24,2,3,5
01/28/2021,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
01/29/2021,0,3,3,0,2,2,0,0,0,0,0,0,0,2,2,0,1,1,0,13,13,0,2,2
01/30/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
01/31/2021,2,2,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,1,2,3
02/01/2021,4,2,6,1,1,2,0,0,0,0,0,0,2,0,2,1,0,1,6,3,9,1,1,2
02/02/2021,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1
02/03/2021,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,4,0,4,1,0,1
02/04/2021,3,3,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,1,2,3
02/05/2021,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
02/06/2021,2,3,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,1,1,2
02/07/2021,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1
02/08/2021,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1
02/09/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,3,3,0,1,1
02/10/2021,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
02/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
02/13/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
02/14/2021,0,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,2
02/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/16/2021,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,1
02/17/2021,1,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,1,1,2
02/18/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2021,0,7,7,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,3
02/20/2021,0,14,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,2,2
02/21/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2021,2,4,6,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,2,2,4
02/23/2021,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2
02/24/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,1
02/27/2021,0,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,3,3
02/28/2021,0,8,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,2,2
03/01/2021,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,5,0,5,1,0,1
03/02/2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
03/03/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
03/04/2021,0,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,2,2
03/05/2021,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2
03/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1
03/08/2021,1,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,1,2
03/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/10/2021,1,6,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,2,3
03/11/2021,1,11,12,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,16,17,1,4,5
03/12/2021,1,7,8,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,11,13,1,2,3
03/13/2021,2,14,16,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,30,32,1,3,4
03/14/2021,1,18,19,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,31,32,1,8,9
03/15/2021,0,24,24,0,8,8,0,0,0,0,0,0,0,3,3,0,1,1,0,39,39,0,8,8
03/16/2021,0,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,2
03/17/2021,7,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,1,0,1
03/18/2021,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1
03/19/2021,0,3,3,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,7,7,0,2,2
03/20/2021,0,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1
03/21/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
03/22/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1
03/23/2021,2,7,9,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,2,4,6
03/24/2021,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2
03/25/2021,1,8,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,1,2,3
03/26/2021,1,9,10,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,12,13,1,5,6
03/27/2021,1,6,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,1,1,2
03/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/29/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/30/2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
03/31/2021,1,6,7,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,1,3,4
04/01/2021,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,1
04/02/2021,3,7,10,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,1,3,4
04/03/2021,1,4,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,1,1,2
04/04/2021,1,4,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,2,3
04/05/2021,0,30,30,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,6,6
04/06/2021,3,9,12,2,4,6,0,0,0,0,0,0,1,0,1,1,0,1,4,12,16,2,4,6
04/07/2021,0,16,16,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,4,4
04/08/2021,4,15,19,2,5,7,0,0,0,0,0,0,0,1,1,0,1,1,4,25,29,2,5,7
04/09/2021,0,24,24,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,9,9
04/10/2021,4,33,37,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,5,48,53,2,6,8
04/11/2021,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
04/12/2021,1,10,11,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,14,15,1,2,3
04/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/14/2021,0,13,13,0,9,9,0,0,0,0,0,0,0,2,2,0,1,1,0,21,21,0,9,9
04/15/2021,3,9,12,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,2,4,6
04/16/2021,0,9,9,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,4,4
04/17/2021,1,3,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,8,1,1,2
04/18/2021,1,3,4,1,1,2,0,0,0,0,0,0,0,1,1,0,1,1,3,4,7,1,1,2
04/19/2021,3,19,22,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,3,26,29,1,7,8
04/20/2021,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
04/21/2021,5,15,20,1,5,6,0,0,0,0,0,0,1,0,1,1,0,1,8,20,28,1,5,6
04/22/2021,3,26,29,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,3,34,37,3,10,13
04/23/2021,4,25,29,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,4,33,37,1,6,7
04/24/2021,3,3,6,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,2,2,4
04/25/2021,1,6,7,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,11,1,1,2
04/26/2021,3,10,13,2,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18,2,6,7
04/27/2021,5,46,51,4,8,11,0,0,0,0,0,0,0,0,0,0,0,0,5,58,63,4,8,11
04/28/2021,4,33,37,2,11,13,0,0,0,0,0,0,0,0,0,0,0,0,4,54,58,2,11,13
04/29/2021,4,9,13,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,4,14,18,2,4,6
04/30/2021,7,9,16,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,7,12,19,2,4,6
